match_id,times,rad_gold_adv,rad_xp_adv
31075,300,1523,958
31075,720,3468,-925
31075,1500,2637,-2629
31076,300,1061,-501
31076,720,571,-998
31076,1500,1928,1010
31077,300,920,1466
31077,720,1988,2027
31077,1500,3031,3657
31078,300,2410,1115
31078,720,7219,3764
31078,1500,17242,18942
31079,300,512,1217
31079,720,1590,2681
31079,1500,-1044,-658
31080,300,-760,-202
31080,720,-1203,-395
31080,1500,-12036,-5416
31081,300,-1179,-1039
31081,720,-4529,-5565
31081,1500,-26584,-32183
31082,300,-20,274
31082,720,1532,998
31082,1500,3698,-1896
31083,300,-1161,-638
31083,720,1590,402
31083,1500,-1937,-1311
31084,300,-301,-446
31084,720,-1015,-1218
31084,1500,-150,-730
31085,300,889,623
31085,720,49,-1584
31085,1500,-1383,-2265
31086,300,-111,156
31086,720,18,1596
31086,1500,4169,11022
31087,300,546,71
31087,720,1750,-2006
31087,1500,-2329,-11063
31088,300,-321,-403
31088,720,1079,-621
31088,1500,23615,24685
31089,300,1812,712
31089,720,9607,7769
31089,1500,33074,22005
31090,300,-533,389
31090,720,2275,4088
31090,1500,16651,20404
31091,300,-318,369
31091,720,3791,4523
31091,1500,11458,14807
31092,300,-446,-748
31092,720,-3637,-3854
31092,1500,-8275,-9916
31093,300,-1534,-559
31093,720,-2647,-358
31093,1500,-2350,-514
31094,300,-935,-381
31094,720,-718,983
31094,1500,3577,10859
31095,300,-1578,-358
31095,720,-1901,-327
31095,1500,-20584,-20761
31096,300,-24,-750
31096,720,1621,859
31096,1500,3279,5579
31097,300,143,-424
31097,720,1388,38
31097,1500,4935,6897
31098,300,-1937,-140
31098,720,-2722,-614
31098,1500,75,1118
31099,300,-584,-874
31099,720,-3633,-5004
31099,1500,-2741,-294
31100,300,-1538,-367
31100,720,-4618,-2540
31100,1500,-6691,-7334
31101,300,-623,-1140
31101,720,-1132,-907
31101,1500,-2819,-1640
31102,300,361,-297
31102,720,1826,1525
31102,1500,8829,12037
31103,300,620,1019
31103,720,391,-1128
31103,1500,-5806,-8301
31104,300,505,191
31104,720,725,-946
31104,1500,4503,-938
31105,300,230,-857
31105,720,1715,-1017
31105,1500,6949,5044
31106,300,1372,52
31106,720,3059,2225
31106,1500,6583,4941
31107,300,-1547,-362
31107,720,-2819,203
31107,1500,-9339,-2276
31108,300,333,282
31108,720,746,628
31108,1500,5010,2410
31109,300,-2725,-2673
31109,720,-3445,-2422
31109,1500,-5406,-4401
31110,300,-55,-101
31110,720,-799,-1073
31110,1500,-17853,-14050
31111,300,-13,-154
31111,720,-22,1793
31111,1500,131,36
31112,300,-1643,-1042
31112,720,-2185,-660
31112,1500,1333,709
31113,300,-162,-768
31113,720,-501,-3040
31113,1500,95,-1600
31114,300,-8,-346
31114,720,-1258,-1087
31114,1500,4082,5334
31115,300,-1149,-858
31115,720,1487,857
31115,1500,4194,3374
31116,300,-1187,-767
31116,720,-2046,209
31116,1500,-8007,-9781
31117,300,545,855
