match_id,times,rad_gold_adv,rad_xp_adv
40836,300,2381,1617
40836,720,3655,3277
40836,1500,8939,11333
40837,300,-1139,-268
40837,720,-2189,-577
40837,1500,-11182,-10903
40838,300,991,781
40838,720,3219,524
40838,1500,2380,-557
40839,300,1862,399
40839,720,-487,-1454
40839,1500,-8634,-14784
40840,300,1120,796
40840,720,4586,4518
40840,1500,6909,3897
40841,300,-511,-569
40841,720,1369,2465
40841,1500,1267,787
40842,300,108,-477
40842,720,2702,1908
40842,1500,1271,-4966
40843,300,1444,1249
40843,720,4271,4399
40843,1500,5485,2220
40844,300,2283,2156
40844,720,2733,2493
40844,1500,12178,18551
40845,300,-397,339
40845,720,1656,882
40845,1500,4132,10469
40846,300,3030,611
40846,720,11077,6547
40846,1500,26284,14743
40847,300,408,170
40847,720,1946,1345
40847,1500,25,133
40848,300,-346,520
40848,720,2908,5497
40848,1500,-1453,-3260
40849,300,-752,-896
40849,720,-2473,-2969
40849,1500,1553,1421
40850,300,363,236
40850,720,3233,3484
40850,1500,27300,19055
40851,300,-544,54
40851,720,2307,3049
40851,1500,14836,11147
40852,300,-421,-1037
40852,720,1444,2702
40852,1500,4552,5736
40853,300,-933,-229
40853,720,-357,1912
40853,1500,-5312,-3910
40854,300,799,-67
40854,720,-354,-1141
40854,1500,5168,4595
40855,300,-64,-1057
40855,720,41,619
40855,1500,13937,19049
40856,300,891,1339
40856,720,773,1971
40856,1500,5416,10176
40857,300,-911,166
40857,720,-1213,-31
40857,1500,-6669,-6513
40858,300,774,1580
40858,720,3777,4627
40858,1500,12621,14650
40859,300,158,115
40859,720,-80,-346
40859,1500,-8849,-10228
40860,300,193,156
40860,720,570,718
40860,1500,1817,1652
40861,300,1092,-41
40861,720,3867,1770
40861,1500,11440,5284
40862,300,-355,-1247
40862,720,-3714,-2748
40862,1500,-16788,-24843
40863,300,1068,1808
40863,720,554,814
40863,1500,-1212,3495
40864,300,-672,-1154
40864,720,609,-42
40864,1500,-3048,-11457
40865,300,-1601,-2176
40865,720,653,-1610
40865,1500,-11071,-18463
40866,300,-1401,-1212
40866,720,-5235,-4538
40866,1500,-17098,-17212
40867,300,-1351,-1721
40867,720,-2744,-4317
40867,1500,-5740,-9004
40868,300,-166,-367
40868,720,-362,-1022
40868,1500,-2900,-6623
40869,300,319,-100
40869,720,-1234,-2888
40869,1500,-9627,-12451
40870,300,92,-455
40870,720,726,-951
40870,1500,190,-964
40871,300,1190,308
40871,720,3174,1079
40871,1500,-2445,-5371
40872,300,-1138,-297
40872,720,-2599,-1553
40872,1500,-6407,-12988
40873,300,-2067,-1714
40873,720,-4849,-5519
40873,1500,-13630,-15881
40874,300,-1437,-691
40874,720,-158,-33
40874,1500,8711,17913
40875,300,571,-376
40875,720,2680,296
40875,1500,-2783,-6898
40876,300,-2278,-406
40876,720,-4532,-2033
40876,1500,-20147,-15608
40877,300,-1803,-1909
40877,720,-3523,-1912
40877,1500,-3222,-1982
40878,300,-890,-681
40878,720,1273,1857
40878,1500,7720,6483
40879,300,682,316
40879,720,1423,662
40879,1500,-405,1551
40880,300,1628,1296
40880,720,4415,4765
40880,1500,11775,19038
40881,300,787,1279
40881,720,-817,-1379
40881,1500,-3562,-5141
40882,300,-2378,-2174
40882,720,-5730,-3519
40882,1500,-11780,-8163
40883,300,-1748,-1571
40883,720,-1421,-1058
40883,1500,-8743,-11853
40884,300,381,-98
40884,720,2534,1942
40884,1500,-4403,-7558
40885,300,470,167
40885,720,4029,3987
40885,1500,17672,16790
40886,300,76,173
40886,720,3087,1523
40886,1500,15821,14826
40887,300,-1030,-866
40887,720,-1753,-2138
40887,1500,-4198,-5425
40888,300,919,593
40888,720,2728,743
40888,1500,6483,4723
40889,300,-128,136
40889,720,71,-107
40889,1500,2200,5035
40890,300,-235,505
40890,720,-443,1150
40890,1500,4896,3712
40891,300,-223,204
40891,720,4111,3840
40891,1500,12491,9586
40892,300,403,893
40892,720,-223,-892
40892,1500,6420,7282
40893,300,-1274,-616
40893,720,226,-806
40893,1500,-4367,-6818
40894,300,795,-144
40894,720,526,-1696
40894,1500,-2962,-4251
40895,300,980,386
40895,720,-286,-2172
40895,1500,-2108,-4472
40896,300,-131,-686
40896,720,-3704,-3665
40896,1500,855,2830
40897,300,-1140,-1140
40897,720,-5055,-1655
40897,1500,-18380,-13971
40898,300,-892,-1127
40898,720,-2629,-2624
40898,1500,-2692,-3663
40899,300,-291,-587
40899,720,443,-495
40899,1500,18770,15412
40900,300,1426,693
40900,720,963,1555
40900,1500,-3553,2995
40901,300,918,982
40901,720,-1684,-4284
40901,1500,-1383,-4643
40902,300,1144,688
40902,720,-614,1600
40902,1500,108,2102
40903,300,-558,-214
40903,720,-1138,-1230
40903,1500,11611,16304
40904,300,2005,283
40904,720,683,-837
40904,1500,4521,4580
40905,300,-693,-156
40905,720,-524,1654
40905,1500,-2609,-151
40906,300,752,-39
40906,720,-531,-1314
40906,1500,-2690,-4789
40907,300,1726,1200
40907,720,3078,2882
40907,1500,425,-2510
40908,300,-314,-166
40908,720,-4484,-5023
40908,1500,-7951,-6454
40909,300,1018,643
40909,720,599,-1102
40909,1500,2457,1452
40910,300,-22,-881
40910,720,-2451,-5667
40910,1500,-19440,-26213
40911,300,-156,308
40911,720,-2713,-775
40911,1500,20709,23661
40912,300,-2313,-2459
40912,720,-5274,-4780
40913,300,-1469,-799
40913,720,-2602,-168
40913,1500,-24983,-14493
40914,300,-791,318
40914,720,845,4123
40914,1500,7450,12291
40915,300,-1050,171
40915,720,3136,4792
40915,1500,4339,5444
40916,300,217,93
40916,720,-4506,-4857
40916,1500,-1819,-1491
40917,300,-922,-1235
40917,720,-3041,-4374
40917,1500,-9626,-9027
40918,300,-506,-674
40918,720,-6061,-6836
40918,1500,-20285,-21390
40919,300,-369,-890
40919,720,-2138,-3776
40919,1500,6131,9934
40920,300,181,223
40920,720,-876,-62
40920,1500,18578,24250
40921,300,-1207,-1103
40921,720,-114,324
40921,1500,-723,-683
40922,300,-334,-1196
40922,720,-3832,-4900
40922,1500,-3970,-6547
40923,300,1377,1031
40923,720,1889,2706
40923,1500,5789,6441
40924,300,-2108,-1398
40924,720,-1815,-140
40924,1500,-3971,5924
40925,300,-1255,-1025
40925,720,-6829,-5278
40925,1500,-22639,-17463
40926,300,1659,1196
40926,720,3233,2676
40926,1500,608,-21
40927,300,-1829,353
40927,720,-1313,956
40927,1500,-3329,-1410
40928,300,-842,-2093
40928,720,58,-1186
40928,1500,4158,491
40929,300,-182,99
40929,720,1083,1182
40929,1500,-5632,-9058
40930,300,-97,-85
40930,720,-591,414
40930,1500,214,-3045
40931,300,472,-1030
40931,720,610,-253
40931,1500,6031,7587
40932,300,481,388
40932,720,-1153,-196
40932,1500,-720,-108
40933,300,-1876,-721
40933,720,-5138,-4000
40933,1500,-10771,-4374
40934,300,-1012,-1285
40934,720,1817,-1115
40934,1500,-12583,-23260
40935,300,-1093,-669
40935,720,-321,1079
40935,1500,-2108,889
40936,300,276,148
40936,720,915,-1801
40936,1500,-2149,-3518
40937,300,776,1157
40937,720,2704,3290
40937,1500,-3757,-7557
40938,300,-1912,-1422
40938,720,-766,-958
40938,1500,-9008,-11750
40939,300,892,141
40939,720,4219,1814
40939,1500,8346,6256
40940,300,-2432,-1130
40940,720,-4387,-1470
40940,1500,-9490,-8651
40941,300,286,206
40941,720,1055,1057
40941,1500,1389,-1498
40942,300,-425,339
40942,720,-218,1579
40942,1500,2749,8369
40943,300,-896,-358
40943,720,101,1068
40943,1500,9863,8792
40944,300,146,647
40944,720,-535,-455
40944,1500,195,-3785
40945,300,853,177
40945,720,999,-516
40945,1500,12182,11030
40946,300,410,207
40946,720,-698,-1931
40946,1500,12049,21222
40947,300,3621,3298
40947,720,13087,11051
40948,300,484,-91
40948,720,1044,464
40948,1500,10414,10834
40949,300,-803,286
40949,720,-2802,-1513
40949,1500,-19984,-11841
40950,300,-1257,-456
40950,720,-1185,1411
40950,1500,-6145,-4161
40951,300,181,-1556
40951,720,-1087,-1593
40951,1500,-7649,-8652
40952,300,-313,-280
40952,720,-1182,-1568
40952,1500,-20770,-28719
40953,300,629,426
40953,720,-96,-599
40953,1500,7368,12201
40954,300,-78,-351
