match_id,times,rad_gold_adv,rad_xp_adv
87,1500,9544,11823
88,300,-242,-557
88,720,-2109,-1763
88,1500,-5077,-6170
89,300,1448,1257
89,720,3059,2753
89,1500,2393,606
90,300,565,-43
90,720,-912,-1221
90,1500,-3564,-7705
91,300,122,242
91,720,-422,-454
91,1500,-5615,-6414
92,300,948,421
92,720,976,1869
92,1500,-1630,-4941
93,300,32,-262
93,720,1030,873
93,1500,-4189,-5435
94,300,1093,343
94,720,2024,506
94,1500,1057,-3927
95,300,-1152,-1288
95,720,-5265,-4719
95,1500,-12507,-12830
96,300,947,1555
96,720,4888,5522
96,1500,7633,11943
97,300,1595,1893
97,720,5659,5454
97,1500,10619,7003
98,300,1020,1434
98,720,-1044,678
98,1500,-17859,-11087
99,300,260,151
99,720,2589,4159
99,1500,33119,22954
100,300,980,528
100,720,2213,1874
100,1500,-6939,-9898
101,300,-998,431
101,720,-1692,-696
101,1500,-4393,-8327
102,300,-633,-1491
102,720,-2325,-1919
102,1500,2348,5122
103,300,159,-1632
103,720,-806,-4454
103,1500,-1403,-9486
104,300,-1600,-2013
104,720,-4041,-2171
104,1500,-4430,-5317
105,300,662,650
105,720,3531,3413
105,1500,30955,30298
106,300,1660,1346
106,720,2108,1032
106,1500,1587,-1151
107,300,1634,880
107,720,8975,6899
107,1500,7997,-1734
108,300,-53,219
108,720,848,828
108,1500,7601,9559
109,300,1347,-277
109,720,5321,2790
109,1500,23281,12911
110,300,-1272,-241
110,720,-526,-1366
110,1500,-4541,-4565
111,300,-903,-217
111,720,-2715,-1009
111,1500,-3084,-5624
112,300,-332,-881
112,720,1035,-233
112,1500,-400,-8113
113,300,-463,-953
113,720,-1169,-1666
113,1500,-13125,-16677
114,300,-559,-1288
114,720,-1416,-1122
114,1500,-3684,-3320
115,300,-290,-295
115,720,83,-250
115,1500,5264,5640
116,300,-434,-299
116,720,755,2726
116,1500,-2255,8448
117,300,1808,118
117,720,2792,931
117,1500,4491,3208
118,300,-872,-867
118,720,-1339,-656
118,1500,-2233,-6102
119,300,-998,-1865
119,720,-2129,-2298
119,1500,-3694,-2967
120,300,56,-393
120,720,-2512,-1100
120,1500,-9380,-6805
121,300,-1996,-813
121,720,-1975,744
121,1500,-5189,-2449
122,300,-292,87
122,720,-1459,-1282
122,1500,5733,10162
123,300,-818,-278
123,720,166,1181
123,1500,118,2236
124,300,2011,1554
124,720,3428,3243
124,1500,16576,14812
125,300,291,766
125,720,940,1393
125,1500,2113,1917
126,300,-491,-1125
126,720,1213,-1756
126,1500,-8599,-13019
127,300,159,-183
127,720,2257,2421
127,1500,-14091,-23206
128,300,325,903
128,720,1513,1794
128,1500,9881,13063
129,300,-812,-1334
129,720,-2285,-2974
129,1500,-9653,-11353
130,300,1414,572
130,720,1444,1286
130,1500,9280,7251
131,300,304,-195
131,720,1217,-784
131,1500,5069,5739
132,300,1439,1203
132,720,6978,5764
132,1500,10346,9848
133,300,-939,-23
133,720,1413,1672
133,1500,-6069,-8521
134,300,1325,1084
134,720,-2826,-2146
134,1500,-6873,-9731
135,300,375,-400
135,720,324,-1358
135,1500,9753,9032
136,300,259,232
136,720,5595,6546
136,1500,34165,32261
137,300,955,973
137,720,476,-1508
137,1500,6468,4659
138,300,-550,-1211
138,720,-266,-350
138,1500,-3989,-4162
139,300,1469,2198
139,720,9001,5675
139,1500,17990,17387
140,300,360,-461
140,720,1735,123
140,1500,14438,7250
141,300,-966,-1390
141,720,-3931,-2602
141,1500,-11658,-15214
142,300,-663,-685
142,720,-1724,-2127
142,1500,-6414,-11040
143,300,-82,208
143,720,187,-1112
143,1500,5797,3030
144,300,740,156
144,720,-314,-858
144,1500,-2897,-9795
145,300,413,189
145,720,1155,-54
145,1500,-2241,-1313
146,300,-640,4
146,720,853,2063
146,1500,10000,13257
147,300,559,-50
147,720,-946,-3328
147,1500,-1108,-3661
148,300,462,-433
148,720,951,646
148,1500,-3142,-2823
149,300,-136,356
149,720,984,1457
149,1500,6834,7087
150,300,363,-1016
150,720,723,236
150,1500,10115,8898
151,300,-1215,-492
151,720,-4214,-1935
151,1500,-425,-243
152,300,1344,1429
152,720,1484,1834
152,1500,-2115,813
153,300,-2498,-1750
153,720,-4064,-55
153,1500,-10915,-6393
154,300,1485,70
154,720,3850,1195
154,1500,8830,9541
155,300,511,1029
155,720,1485,2352
155,1500,8746,15142
156,300,135,135
156,720,-550,-410
156,1500,-3553,-3454
157,300,-1179,-1906
157,720,-2438,-2954
157,1500,-5057,-6090
