match_id,times,tot_gold_rad,tot_gold_dire,tot_xp_rad,tot_xp_dire
56,300,4121,6413,4488,6755
56,720,11767,18036,11758,18745
56,1500,33861,52058,34798,52357
57,300,5770,6029,6213,6865
57,720,15236,17869,16981,20020
57,1500,34743,49564,37020,57475
58,300,5611,5682,6149,5052
58,720,16196,14886,16565,15188
58,1500,38433,41669,39695,47307
59,300,5034,5305,6293,6047
59,720,15232,14895,17060,16670
59,1500,37325,38567,42492,46577
60,300,5847,5740,6466,5597
60,720,15635,15679,15539,16207
60,1500,38568,35532,41940,37950
61,300,6527,6527,6404,6564
61,720,17801,17800,17056,18835
61,1500,44375,43080,49349,48510
62,300,4991,4522,5819,6073
62,720,15465,12218,17691,12526
62,1500,46138,33078,50396,36313
63,300,5113,5543,6055,6157
63,720,15323,19447,16920,21452
63,1500,38138,43798,42755,48291
64,300,5056,5682,5881,7509
64,720,16316,15204,16739,18377
64,1500,42255,36106,48979,44504
65,300,6734,6108,6702,6642
65,720,17603,17986,19313,19151
65,1500,43451,41106,54757,42594
66,300,5392,5376,6669,6505
66,720,15334,14125,15905,15331
66,1500,43100,38461,45137,44477
67,300,6557,6440,6086,5210
67,720,17087,17419,17123,17122
67,1500,48743,42102,57501,43651
68,300,4638,5688,5298,6107
68,720,17159,14487,16361,14637
68,1500,47644,33596,49454,35905
69,300,6612,5502,6156,6211
69,720,17903,14263,18352,15018
69,1500,47750,38862,57035,43081
70,300,5884,6777,6546,6643
70,720,16685,16209,18389,16846
70,1500,45970,41229,49718,44755
71,300,5773,4844,6576,6141
71,720,17785,17872,19686,19519
71,1500,39045,47906,43417,49772
72,300,6201,6019,6636,7282
72,720,15771,17789,17122,20418
72,1500,42219,43600,46210,48293
73,300,5150,7941,5410,6566
73,720,15150,21441,17078,20126
73,1500,43262,59766,46422,57808
74,300,8335,5114,7375,6038
74,720,19101,16139,16572,17578
74,1500,38902,41851,37870,46108
75,300,5786,4646,6505,4906
75,720,16612,14033,16978,14834
