match_id,times,tot_gold_rad,tot_gold_dire,tot_xp_rad,tot_xp_dire
20502,300,5128,5938,5216,6525
20502,720,12819,19091,13116,20687
20503,300,5522,4784,5899,5282
20503,720,16851,14346,18803,15990
20503,1500,50745,30812,55915,33584
20504,300,6687,7743,7058,6672
20504,720,17824,20166,17812,18205
20504,1500,44379,50309,47700,53871
20505,300,5191,5991,5616,6673
20505,720,15770,17365,16046,19604
20505,1500,38879,45831,40808,53489
20506,300,5512,6383,5475,6815
20506,720,15718,16238,16759,18023
20506,1500,46088,36266,51704,39562
20507,300,5132,5691,5435,6163
20507,720,14638,16413,15643,17604
20507,1500,34954,41338,38811,46957
20508,300,7011,6415,7309,6754
20508,720,22045,18988,21056,19504
20508,1500,52654,55475,50175,56302
20509,300,6212,5619,6305,6409
20509,720,16778,14325,16076,15596
20509,1500,47320,38206,44166,43008
20510,300,4625,6920,5059,6760
20510,720,14690,20771,15293,19929
20510,1500,35778,48147,34454,46804
20511,300,5124,5397,5825,6259
20511,720,14920,13327,16570,15042
20511,1500,46792,34342,49550,36580
20512,300,5566,5086,6422,5538
20512,720,14877,15369,16830,16447
20512,1500,44684,33534,52963,35760
20513,300,5965,5758,6939,6957
20513,720,14934,16225,16509,18823
20513,1500,37850,44554,44921,54227
20514,300,7139,6328,7553,6725
20514,720,20113,17834,22980,17534
20514,1500,51417,51583,59970,54644
20515,300,5138,5378,6181,6740
20515,720,15880,13945,17236,15381
20515,1500,38337,42955,41397,47311
20516,300,4488,5992,5168,6605
20516,720,14094,18691,15386,18215
20516,1500,41878,44459,48416,45135
20517,300,7269,4868,6719,4995
20517,720,21722,12405,20849,12706
20518,300,5385,6068,6542,7191
20518,720,14591,15213,16788,16343
20518,1500,37634,37945,48534,42695
20519,300,4934,4211,5793,6107
20519,720,13333,13252,15348,17139
20519,1500,32978,38017,35054,44326
20520,300,5951,4745,6116,6300
20520,720,14394,14533,15210,15150
20520,1500,33368,34399,35057,38122
20521,300,5235,6056,6588,6593
20521,720,14339,16742,16607,16425
20521,1500,37613,40185,42948,41892
20522,300,6254,3629,6383,4251
20522,720,19831,11393,17333,11756
20522,1500,43872,33422,43643,35828
20523,300,7102,5908,6820,6154
20523,720,16837,15462,16966,15769
20523,1500,45323,39787,44966,41085
20524,300,5838,7776,6997,8330
20524,720,17277,18588,20653,20018
20524,1500,45404,49994,52100,58076
20525,300,7904,6791,7255,6400
20525,720,19545,19207,18880,19399
20525,1500,44313,44596,46874,48137
20526,300,7406,5158,6580,5918
20526,720,19480,14615,17618,15089
20526,1500,61699,40802,57543,42488
20527,300,4584,5489,5862,5738
20527,720,17451,16857,20034,18693
20527,1500,37674,49293,43246,59850
20528,300,5174,5858,5203,6784
20528,720,14630,16545,15761,18385
20528,1500,37501,45448,38943,52544
20529,300,4821,5582,6045,5953
20529,720,15851,17666,17088,16970
20529,1500,40944,42487,48278,45940
20530,300,6096,5296,7248,5547
20530,720,17818,15946,20212,15513
20530,1500,48516,47653,62162,50399
20531,300,7078,4653,8664,5660
20531,720,20093,14147,23466,17357
20531,1500,51110,34210,64302,41190
20532,300,5206,5654,6156,6399
20532,720,17042,15414,18546,16601
20532,1500,54901,29706,54437,28543
20533,300,6327,5509,6476,5774
20533,720,16796,14936,17899,15630
20533,1500,43496,38281,54188,44364
20534,300,5756,6280,5863,6477
20534,720,20230,13881,19860,15009
20534,1500,49303,38831,51034,44134
20535,300,6675,4818,6588,6140
20535,720,15822,14174,15281,18021
20535,1500,43138,41644,50461,50307
20536,300,4908,4963,6136,6210
20536,720,16133,14377,18045,16070
20536,1500,48417,35518,50493,38155
20537,300,5752,6149,5710,5529
20537,720,16813,18806,16687,18334
20537,1500,38903,55569,39594,55074
20538,300,4438,4139,4824,6358
20538,720,12729,10346,13374,15529
20538,1500,36890,28864,41594,36200
20539,300,5017,5292,5830,5180
20539,720,13667,14975,14686,14079
20539,1500,32091,41891,33177,36760
20540,300,5800,5990,6590,6061
20540,720,19125,18126,19747,18357
20540,1500,48786,41754,59790,45751
20541,300,5652,6296,5611,6061
20541,720,14912,17160,15500,17238
20541,1500,35599,43496,37370,48837
20542,300,7310,6315,6887,6685
20542,720,15674,17016,15885,18200
20542,1500,38858,45250,43975,55559
20543,300,4761,5419,5363,6276
20543,720,16517,15476,16082,16044
20543,1500,45217,35223,45433,36873
20544,300,5994,5098,6481,5908
20544,720,18126,14656,20730,16135
20544,1500,46757,37028,54551,43207
20545,300,5468,6148,7438,7237
20545,720,15732,15708,18537,17838
20545,1500,37150,39277,47122,46704
20546,300,5766,5859,5787,7662
20546,720,16416,16313,16527,19952
20546,1500,40487,42999,41603,47798
20547,300,5460,5452,5616,6090
20547,720,15349,15710,15861,16946
20547,1500,50574,36398,56956,38772
20548,300,5812,5185,5250,5063
20548,720,19080,14877,19328,14057
20548,1500,47204,44384,48561,48548
20549,300,5370,5113,6283,6243
20549,720,14158,15263,14792,16536
20549,1500,33352,45586,33975,50445
20550,300,6804,4249,7334,5382
20550,720,17978,13864,18647,14874
20550,1500,50670,43936,49968,46279
20551,300,7561,5722,6871,6063
20551,720,20503,14713,17662,14548
20551,1500,60120,32310,50526,33817
20552,300,5686,6798,5410,5686
20552,720,17092,21384,16126,22139
20552,1500,48587,54133,51254,52890
20553,300,5693,6316,5640,6709
20553,720,16832,17460,15733,17438
20553,1500,43006,42586,44953,45756
20554,300,7991,4560,7021,5708
20554,720,18401,14288,16608,16764
20554,1500,54945,37749,54145,42246
20555,300,5408,5681,6477,6188
20555,720,14277,17410,15576,18004
20555,1500,40973,42772,45766,46946
20556,300,4289,6274,3691,5988
20556,720,11951,16522,11230,14756
20556,1500,40262,41446,41527,42698
20557,300,5836,5234,5290,5201
20557,720,17517,15270,17162,14533
20557,1500,44131,40339,46066,40616
20558,300,4988,5481,5859,5765
20558,720,15187,15257,15967,16425
20558,1500,44118,37366,47147,40392
20559,300,5565,7073,5614,6748
20559,720,15837,21008,16071,21843
20559,1500,41100,57692,45232,63313
