match_id,times,rad_gold_adv,rad_xp_adv
20559,720,-5171,-5772
20559,1500,-16592,-18081
20560,300,-827,-299
20560,720,-140,431
20560,1500,-3776,-3112
20561,300,1890,1939
20561,720,617,-583
20561,1500,6084,3112
20562,300,1136,418
20562,720,2036,-42
20562,1500,1458,-2372
20563,300,-992,-296
20563,720,-2237,-1521
20563,1500,-1278,-1968
20564,300,-443,-696
20564,720,5859,4439
20564,1500,12186,7913
20565,300,-1720,-725
20565,720,-601,-1216
20565,1500,704,-1310
20566,300,-1284,-1475
20566,720,-6646,-8106
20566,1500,-10646,-14053
20567,300,209,-1197
20567,720,296,523
20567,1500,3942,8330
20568,300,-1247,-78
20568,720,-894,126
20568,1500,-4946,-1319
20569,300,-700,-71
20569,720,-5545,-3345
20569,1500,-4941,-5446
20570,300,-1271,0
20570,720,-6331,-5500
20570,1500,-3967,-2773
20571,300,688,136
20571,720,1513,2661
20571,1500,8513,11332
20572,300,143,69
20572,720,1011,1070
20572,1500,4145,4360
20573,300,-1425,-1457
20573,720,-450,1044
20573,1500,-5715,-7371
20574,300,-716,-263
20574,720,-1099,490
20574,1500,-2468,-811
20575,300,211,-536
20575,720,-639,-986
20575,1500,-11568,-19847
20576,300,861,-1436
20576,720,-558,-4943
20576,1500,167,-4854
20577,300,328,425
20577,720,879,-1497
20577,1500,-3307,-4090
20578,300,-186,-1281
20578,720,-3831,-5244
20578,1500,-15450,-17823
20579,300,-1900,-1427
20579,720,-5189,-3318
20579,1500,-4343,-3436
20580,300,21,-428
20580,720,-1045,1256
20580,1500,700,5506
20581,300,-462,-217
20581,720,2013,3853
20581,1500,6666,9551
20582,300,-2831,-1630
20582,720,-5511,-4086
20582,1500,-17961,-13893
20583,300,985,-115
20583,720,2195,1721
20583,1500,2716,7062
20584,300,-1069,-784
20584,720,-1334,-825
20584,1500,3865,4436
20585,300,2280,991
20585,720,5647,2540
20586,300,-805,-1682
20586,720,-3096,-3979
20586,1500,-3305,2850
20587,300,-189,-806
20587,720,1715,-25
20587,1500,3291,2093
20588,300,576,1239
20588,720,251,1921
20588,1500,-14299,-17032
20589,300,-786,-1098
20589,720,-2651,-3011
20589,1500,1515,-1783
20590,300,1073,147
20590,720,2788,-843
20590,1500,3112,777
20591,300,-1749,-92
20591,720,-2355,-193
20591,1500,-3290,2949
20592,300,2105,1807
20592,720,4674,3945
20592,1500,16908,13938
20593,300,873,1035
20593,720,1618,1408
20593,1500,-2655,-5391
20594,300,224,-291
20594,720,1853,955
20594,1500,-537,-3617
20595,300,-1128,-188
20595,720,-1232,1835
20595,1500,-1633,7483
20596,300,-359,-860
20596,720,-669,-695
20596,1500,-3133,-4015
20597,300,-1964,55
20597,720,-2229,585
20597,1500,314,5494
20598,300,295,168
20598,720,6775,5440
20598,1500,3150,-913
20599,300,159,-89
20599,720,-970,-1317
20599,1500,-2310,-6714
20600,300,-1757,-898
20600,720,263,3051
20600,1500,-722,3283
20601,300,-1066,-1380
20601,720,-5201,-4452
20601,1500,-6309,-1505
20602,300,1150,402
20602,720,2432,2866
20602,1500,3123,1835
20603,300,383,710
20603,720,-1833,-1765
20603,1500,-1517,-2007
20604,300,69,-279
20604,720,1301,1716
20604,1500,-2472,-3714
20605,300,817,1011
20605,720,2733,2419
20605,1500,4466,6340
20606,300,650,252
20606,720,3344,3923
20606,1500,3789,7945
20607,300,1890,737
20607,720,2734,3182
20607,1500,-4416,-6345
20608,300,-520,284
20608,720,-407,2010
20608,1500,4913,6330
20609,300,836,-349
20609,720,5131,6011
20609,1500,-1657,1447
20610,300,3555,2820
20610,720,7599,6640
20610,1500,10107,7775
20611,300,-1583,-1888
20611,720,-964,-945
20611,1500,9263,8526
20612,300,237,-1403
20612,720,39,-3909
20612,1500,15670,12531
20613,300,-2058,-1877
20613,720,-3797,-2405
20613,1500,-10004,-8822
20614,300,587,669
20614,720,-354,-475
20614,1500,-11869,-12825
20615,300,-2989,-1679
20615,720,-4894,-3199
20615,1500,-12014,-5216
20616,300,-291,-172
20616,720,1859,2579
20616,1500,-2641,-4180
20617,300,919,341
20617,720,204,45
20617,1500,-3644,-6548
20618,300,2050,1465
20618,720,4383,2670
20618,1500,11209,9421
20619,300,1672,956
20619,720,5062,5522
20619,1500,12291,14162
20620,300,-1958,-852
20620,720,-1056,-1042
20620,1500,-4708,-9389
20621,300,-226,-885
20621,720,-764,-855
20621,1500,-3135,-5488
20622,300,-448,-303
20622,720,-2011,-1556
20622,1500,-988,-5466
20623,300,-139,-305
20623,720,-1603,-1811
20623,1500,-9928,-12078
20624,300,-631,-408
20624,720,-3966,-2820
20624,1500,-17271,-17062
20625,300,119,-1221
20625,720,1253,-278
20625,1500,15074,10844
20626,300,795,1021
20626,720,-1108,-1918
20626,1500,-3737,-7556
20627,300,1880,609
20627,720,1194,704
20627,1500,9522,7764
20628,300,2249,2386
20628,720,3084,4450
20628,1500,14768,19319
20629,300,763,420
20629,720,5952,6101
20629,1500,35897,30090
20630,300,-290,163
20630,720,3445,2742
20630,1500,3744,2606
20631,300,-336,-731
20631,720,682,899
20631,1500,-1298,-1995
20632,300,739,382
20632,720,1954,1639
20632,1500,30896,19560
20633,300,-318,813
20633,720,-1189,972
20633,1500,-2519,1509
20634,300,-2832,-2863
20634,720,-8065,-7197
20634,1500,-16759,-16137
20635,300,544,2951
20635,720,3229,4374
20635,1500,12775,13214
20636,300,420,-574
20636,720,-409,-72
20636,1500,-10538,-13157
20637,300,1683,1098
20637,720,3659,2096
20637,1500,3274,2302
20638,300,285,89
20638,720,4093,2975
20638,1500,4325,1070
20639,300,1244,902
20639,720,-1251,-1318
20639,1500,2931,3526
20640,300,1235,285
20640,720,2449,551
20640,1500,-1536,-4491
20641,300,-489,-389
20641,720,-1277,-203
20641,1500,-8829,-3449
20642,300,1791,831
20642,720,1110,98
20642,1500,327,66
20643,300,1434,520
20643,720,4026,1877
20643,1500,9319,4848
20644,300,-26,137
20644,720,-1131,48
20644,1500,6155,6791
20645,300,-2392,-1136
20645,720,-4524,-1495
20645,1500,-11646,-4365
20646,300,1156,1411
20646,720,1111,734
20646,1500,4258,3689
20647,300,-242,392
20647,720,-4562,-2576
20647,1500,-16833,-18309
20648,300,300,-298
20648,720,-1404,-3135
20648,1500,-17111,-5741
20649,300,1015,1070
20649,720,4397,3319
20649,1500,20490,21653
20650,300,3520,2116
20650,720,22196,11275
20651,300,1251,1299
20651,720,3052,1431
20651,1500,573,-2986
20652,300,601,412
20652,720,1209,-590
20652,1500,31136,23634
20653,300,151,373
20653,720,4180,3724
20653,1500,11772,10584
20654,300,-1045,-409
20654,720,-121,1998
20654,1500,1451,2041
20655,300,663,-173
20655,720,-89,-975
20655,1500,-3634,-8316
20656,300,216,486
20656,720,5675,4457
20657,300,2366,1359
20657,720,4450,644
20657,1500,11031,3858
20658,300,1482,1170
20658,720,3846,3736
20658,1500,5992,4869
20659,300,2229,1483
20659,720,2655,1326
20659,1500,6968,6013
20660,300,-770,-1074
20660,720,223,939
20660,1500,-11646,-8875
20661,300,-656,-629
20661,720,-1759,-2593
20661,1500,-5077,-5577
20662,300,1096,-23
20662,720,-1741,-1081
20662,1500,12699,11124
20663,300,2272,1652
20663,720,4973,4820
20663,1500,11931,13349
20664,300,829,-219
20664,720,5151,669
20664,1500,22408,15955
20665,300,-1255,-1343
20665,720,-1729,-3543
20665,1500,-6296,-9104
20666,300,264,-847
20666,720,-1839,-4552
20666,1500,-769,-1204
20667,300,-2139,-667
20667,720,-1822,29
20667,1500,-20882,-22823
20668,300,211,707
20668,720,142,824
20668,1500,9050,10923
20669,300,-2956,-190
20669,720,-5639,-593
20669,1500,-31982,-20300
20670,300,2655,1075
20670,720,9408,7122
20670,1500,23616,24607
20671,300,-1032,-383
20671,720,51,409
20671,1500,-2602,754
20672,300,836,-399
20672,720,-1508,-2023
20672,1500,-1355,-4083
20673,300,-289,223
20673,720,452,2357
20673,1500,8609,14055
20674,300,-1012,-685
20674,720,-2792,-91
20674,1500,3192,9285
20675,300,147,382
20675,720,-4680,-3357
20675,1500,-7030,-5941
20676,300,-1862,-2137
20676,720,-3940,-2060
20676,1500,-23459,-13418
20677,300,-1594,-991
20677,720,891,-138
20677,1500,7669,7998
20678,300,916,377
20678,720,1499,1360
20678,1500,1216,-1493
20679,300,1110,853
20679,720,3692,5114
20679,1500,1362,710
20680,300,-334,-1278
20680,720,1242,-468
20680,1500,900,167
20681,300,-1503,-1093
20681,720,-1484,-1850
20681,1500,-6173,-8369
20682,300,-619,-9
20682,720,-3647,-3196
20682,1500,-9980,-11311
20683,300,1366,1592
20683,720,5484,5139
20683,1500,19899,18113
20684,300,2537,1498
20684,720,7530,3743
20684,1500,27130,18491
20685,300,-675,-1970
20685,720,632,-1248
20685,1500,615,-5319
20686,300,-936,-514
20686,720,-693,-326
20686,1500,-8636,-12795
20687,300,-1328,-1325
20687,720,-6593,-4592
20687,1500,-3498,-3444
20688,300,-255,-369
20688,720,-3039,-4000
20688,1500,-16822,-22740
20689,300,373,242
20689,720,1272,1214
20689,1500,1744,2409
20690,300,-926,-253
20690,720,-1088,139
20690,1500,-11325,-15413
20691,300,1346,676
20691,720,11,-1536
20691,1500,-4635,-12899
20692,300,1366,-495
20692,720,4008,2180
20692,1500,23521,20526
20693,300,-156,-636
20693,720,568,301
20693,1500,7538,8782
20694,300,-358,917
20694,720,1523,2542
20694,1500,4779,12076
20695,300,-4,-579
20695,720,516,162
20695,1500,-9764,-12157
20696,300,-406,-828
20696,720,2478,3852
20696,1500,2486,2599
20697,300,993,137
20697,720,798,582
20697,1500,611,2860
20698,300,430,-301
20698,720,333,-1497
20698,1500,-4311,-4577
20699,300,402,377
20699,720,1882,2440
20699,1500,3468,8450
20700,300,-1400,46
20700,720,-4073,166
20700,1500,-8111,-8965
20701,300,-2187,-897
20701,720,-3961,-1995
20701,1500,-10506,-5808
20702,300,36,-278
20702,720,-262,-316
20702,1500,15492,18836
20703,300,-327,-19
20703,720,-661,494
20703,1500,6442,10527
20704,300,-1361,172
20704,720,-473,1670
20704,1500,-1075,3315
20705,300,-1242,-654
20705,720,-4444,-3594
20705,1500,-12064,-7220
20706,300,323,582
20706,720,1508,2486
20706,1500,7456,11485
20707,300,-116,556
20707,720,-400,1736
20707,1500,3597,7852
20708,300,-538,160
20708,720,-3609,-2138
20708,1500,-11619,-11676
20709,300,943,-61
20709,720,1219,2223
20709,1500,-3663,-5046
20710,300,158,175
20710,720,1401,2016
20710,1500,8131,4696
20711,300,162,853
20711,720,335,497
20711,1500,-2853,-4231
20712,300,1476,-409
20712,720,-390,-3444
20712,1500,5768,46
20713,300,-1568,-969
