match_id,times,tot_gold_rad,tot_gold_dire,tot_xp_rad,tot_xp_dire
10474,300,4972,4724,5660,5376
10474,720,13695,13386,16699,15592
10474,1500,35215,33224,43243,38311
10475,300,6141,4627,6485,6310
10475,720,18700,14219,18668,16477
10475,1500,57869,36385,59035,38577
10476,300,4503,5180,5940,6188
10476,720,13835,16511,15870,16316
10476,1500,35511,44913,38978,47109
10477,300,6145,6386,5648,6010
10477,720,15288,16664,15629,16838
10477,1500,41719,41517,43230,41358
10478,300,6318,6290,6595,6806
10478,720,17933,16248,19760,17278
10478,1500,48000,34890,48119,37316
10479,300,8640,5142,7169,5995
10479,720,25271,15239,21732,17398
10479,1500,69011,45548,59190,48261
10480,300,5577,4246,6738,5933
10480,720,15411,14138,17474,15691
10480,1500,42877,36558,50878,40802
10481,300,5719,5419,6800,6670
10481,720,16122,17198,18574,19544
10481,1500,45613,39055,51000,44061
10482,300,6629,5617,7384,5999
10482,720,19042,18384,20665,17317
10482,1500,47177,43154,53621,47844
10483,300,7285,6111,6982,6618
10483,720,17127,14607,19608,17324
10483,1500,42517,38723,44829,43759
10484,300,5984,5621,7015,5453
10484,720,19167,14771,19231,13784
10484,1500,46134,37447,47763,36958
10485,300,6039,4826,6233,5073
10485,720,15870,14842,16753,15339
10485,1500,42060,35468,45328,36876
10486,300,4983,5561,5013,6020
10486,720,16374,16955,16422,17165
10486,1500,39867,42631,43477,46611
10487,300,6800,6741,6882,6429
10487,720,15897,21402,15577,19470
10487,1500,49947,65869,53538,62856
10488,300,5727,4912,7043,6227
10488,720,14453,12439,16940,14898
10488,1500,39807,33836,46932,39784
10489,300,7818,5070,7642,5384
10489,720,24515,15055,22880,14435
10489,1500,66308,43435,65448,44792
10490,300,5793,5347,6510,6424
10490,720,16325,17807,18019,20469
10490,1500,39682,44331,45847,54181
10491,300,6174,7209,5292,8033
10491,720,13074,21958,11173,21546
10491,1500,39321,62490,32563,48690
10492,300,5678,5701,6431,6712
10492,720,16435,16409,17661,18667
10492,1500,37447,40356,42787,46963
10493,300,5059,5820,5366,5881
10493,720,15058,16450,16849,16305
10493,1500,42235,42777,47282,41218
10494,300,5915,5870,6368,6734
10494,720,14892,15690,15690,17586
10494,1500,39170,40498,46024,49922
10495,300,6182,5063,5896,6243
10495,720,15226,17170,15229,17910
10495,1500,39537,38314,40012,40017
10496,300,7185,5272,6937,7018
10496,720,20538,13223,18277,15045
10496,1500,45985,37750,46260,42026
10497,300,6647,5957,5626,5851
10497,720,18111,16088,16965,15621
10497,1500,46052,37201,49492,38520
10498,300,6315,5557,5700,5751
10498,720,15130,17402,15756,18427
10498,1500,36413,45580,36232,46631
10499,300,5639,5798,6450,6567
10499,720,16117,15975,17688,18011
10499,1500,46087,42031,50359,46742
10500,300,7489,5569,7798,6407
10500,720,21248,17420,24126,19605
10500,1500,42664,47792,46768,53724
10501,300,5816,5659,6502,6366
10501,720,16325,15950,17540,17291
10501,1500,40596,39080,44510,44240
10502,300,6776,4552,7510,5783
10502,720,24194,12050,23447,13861
10503,300,6314,5171,6891,6421
10503,720,17722,12668,19743,14801
10503,1500,55347,27795,44111,26347
10504,300,5987,4557,5947,4971
10504,720,17211,14695,16875,13186
10505,300,6739,5033,7083,6199
10505,720,22148,16246,22604,18203
10505,1500,73235,34027,68852,33638
10506,300,6152,7025,5962,6723
10506,720,18771,16730,19536,16614
10507,300,6046,7037,6147,5737
10507,720,18026,20210,19614,19648
10507,1500,44964,44010,51392,42130
10508,300,5585,6060,7187,6634
10508,720,18271,15759,20095,16329
10508,1500,49915,32436,58215,33894
10509,300,4708,5549,5805,5999
10509,720,14120,18151,15969,20171
10509,1500,34881,50994,36583,57324
10510,300,4638,6457,6031,5660
10510,720,13487,14994,14995,15990
10510,1500,38079,38438,43279,41234
10511,300,5343,6066,6102,6351
10511,720,13198,15589,14175,15510
10511,1500,37717,35836,42754,37081
10512,300,5737,4811,6706,5591
10512,720,17768,14426,18201,16997
10512,1500,61109,37964,58823,42900
10513,300,5962,5396,5794,5780
10513,720,15285,16854,15957,17708
10513,1500,43206,41167,47922,45834
10514,300,5097,7011,5851,6332
10514,720,15030,18673,15775,17022
10514,1500,44556,50875,48917,49561
10515,300,4838,5673,5712,6209
10515,720,15868,16895,17312,17567
10515,1500,44786,41510,50559,46687
10516,300,5180,5440,5984,6447
10516,720,15642,17571,18383,17801
10516,1500,43492,48820,50350,54653
10517,300,5276,5606,5725,6241
10517,720,16468,14962,17913,17498
10517,1500,54732,29233,53760,33170
10518,300,5350,5405,6776,6177
10518,720,16325,14786,20092,16078
10518,1500,36781,37636,45551,41975
10519,300,6209,5480,6729,6937
10519,720,18782,17235,19284,19292
10519,1500,44520,43955,44997,50169
10520,300,7787,5626,7206,6156
10520,720,20106,15349,20247,15689
10520,1500,55102,34516,55008,36756
10521,300,5657,6051,6058,5601
10521,720,16602,14134,17792,14381
10521,1500,47067,39963,55428,45078
10522,300,6530,6225,5973,6675
10522,720,20321,16190,18338,18263
10522,1500,50093,36702,50376,40721
10523,300,8110,5574,7268,5855
10523,720,25637,13657,22263,14123
10523,1500,76340,35212,59052,35172
10524,300,4843,6362,5227,6748
10524,720,14220,19988,15928,19301
10524,1500,38145,47001,42341,50608
10525,300,5762,5470,5180,6366
10525,720,15610,14354,15709,16400
10525,1500,42456,33567,42128,36398
10526,300,6185,5753,7488,5799
10526,720,16749,15020,19901,16563
10526,1500,39981,44026,43564,55615
10527,300,4862,4921,6019,6469
10527,720,12400,13264,14289,14378
10527,1500,32435,36791,37037,42427
10528,300,5667,5635,6167,6322
10528,720,15279,15328,18171,18176
10528,1500,38423,38231,49252,46451
10529,300,4563,6125,5025,6429
10529,720,14380,18635,15834,18477
10530,300,5760,4988,6272,5452
10530,720,13965,13170,15728,15506
10530,1500,39310,39131,43595,46816
10531,300,7284,5391,5777,5902
10531,720,19539,15262,17559,16381
10531,1500,54469,39732,49449,43961
10532,300,5059,5258,6269,6421
10532,720,15573,15742,16895,17085
10532,1500,35267,37872,37710,34463
10533,300,6099,6543,6961,7580
10533,720,15474,18195,17389,20069
10533,1500,43797,40887,50686,45033
10534,300,7743,6133,7954,6731
10534,720,17751,17664,19398,19545
10534,1500,42178,46326,43893,51426
10535,300,4941,5556,5963,6274
10535,720,15315,17863,17781,16524
10535,1500,41468,40970,52979,39584
10536,300,6258,5022,6205,5732
10536,720,16747,16316,17628,18442
10536,1500,45147,41137,49204,44459
10537,300,4929,5590,5232,6085
10537,720,12423,18756,12858,18724
10537,1500,37595,49858,41485,54659
10538,300,5687,5164,6185,6733
10538,720,18776,16372,18273,18942
10538,1500,53710,41218,49876,45915
10539,300,5907,4794,6365,5763
10539,720,15621,14994,16268,16608
10539,1500,39103,42047,45235,50153
10540,300,6057,6328,5654,6657
10540,720,17849,18316,18493,19152
10540,1500,43740,46060,44010,51220
10541,300,4358,5435,5639,6927
10541,720,14517,16266,15779,19550
10541,1500,42100,42482,45199,48512
10542,300,5573,5879,6056,5481
10542,720,15948,17529,16517,17765
10542,1500,45123,41949,48210,42441
10543,300,5515,4585,6021,5191
10543,720,16251,14573,17004,15566
10543,1500,42587,39769,51996,46113
10544,300,5507,6802,6543,6735
10544,720,14547,19270,16207,20289
10544,1500,28513,62953,29851,55198
10545,300,4593,6375,4931,6977
10545,720,15488,19000,15194,18383
10545,1500,39230,42406,40180,40676
10546,300,6294,4818,6798,6524
10546,720,15836,14539,18303,16333
10546,1500,37341,42370,43559,44459
10547,300,6073,6500,6713,6388
10547,720,17935,19458,20492,19978
10547,1500,41249,42003,45329,43415
10548,300,6483,6047,5670,6554
10548,720,18764,18336,17320,17855
10548,1500,48230,44196,57046,49778
10549,300,6352,4982,6774,5776
10549,720,22207,12735,20395,13491
10549,1500,55485,34022,54300,33343
10550,300,5664,4925,6476,6437
10550,720,13504,15051,14899,18465
10550,1500,39210,39170,42000,45534
10551,300,5516,5389,6273,6211
10551,720,17616,15144,17754,16307
10551,1500,38455,40525,45916,43287
10552,300,7224,7193,6809,6334
10552,720,19696,17834,18888,17026
10552,1500,57105,37693,46804,34635
10553,300,6924,5670,6479,6069
10553,720,16744,17107,16515,16714
10553,1500,38912,39702,39913,39310
10554,300,5752,5416,6689,5864
10554,720,15548,16188,17377,17639
10554,1500,41009,40296,47258,46888
10555,300,5231,5854,5852,6062
10555,720,14968,16591,15941,16599
10555,1500,40133,44529,40843,51101
10556,300,4481,5524,5252,6026
10556,720,15491,14728,17195,15495
10556,1500,44305,38135,50250,42960
10557,300,5128,5268,6524,6669
10557,720,14687,15567,17124,19140
10557,1500,38600,43580,45052,53926
10558,300,6310,6016,6426,6178
10558,720,17727,17876,19341,18743
10558,1500,43897,43302,49386,44613
10559,300,5887,4875,6754,6262
10559,720,15686,12488,18174,16069
10559,1500,51374,31755,55371,36483
10560,300,6670,5554,6469,5503
10560,720,16922,15759,18006,16928
10560,1500,45727,39915,52403,44403
10561,300,6031,5081,6131,5241
10561,720,16651,15542,18959,17249
10561,1500,56312,41478,66393,47595
10562,300,5802,5096,6191,6148
10562,720,14864,13941,17470,15313
10562,1500,39312,38314,45313,40418
10563,300,5214,5196,6881,6421
10563,720,14365,16663,16951,17702
10563,1500,37401,42902,42554,51547
10564,300,4677,4202,5877,5780
10564,720,13126,12634,14777,15745
10564,1500,32923,29326,39110,35542
10565,300,5326,5936,5952,5962
10565,720,15193,17204,15715,17501
10565,1500,44623,43042,49291,46399
10566,300,5536,5442,6163,5925
10566,720,17773,17084,17787,18614
10566,1500,42469,45858,46264,50676
10567,300,5778,6196,6722,5698
10567,720,18035,16479,19542,15294
10567,1500,46788,36624,46537,36178
10568,300,5870,5839,6606,6737
10568,720,20338,16195,18937,17517
10568,1500,44723,44789,45415,48239
10569,300,6891,6158,6372,6780
10569,720,19372,14892,20103,16547
10569,1500,58487,40688,57839,44302
10570,300,7820,6761,7755,6849
10570,720,21026,21603,20313,21845
10570,1500,52021,47072,53297,46742
10571,300,5831,6663,6283,6116
10571,720,14721,21412,15907,20528
10571,1500,38184,63174,39230,59545
10572,300,4833,4635,6491,5068
10572,720,18867,11139,18821,12015
10572,1500,55442,27547,47151,27756
10573,300,6266,4489,7297,5854
10573,720,16360,13056,20370,16256
10573,1500,43159,34248,47198,39293
10574,300,6097,5775,6829,6719
10574,720,19368,14508,22196,17058
10574,1500,56496,39036,58412,46468
10575,300,6252,5102,6168,5285
10575,720,18912,12556,18258,14135
10575,1500,63370,27748,49967,28536
10576,300,6267,4827,6654,6375
10576,720,19240,17180,18894,17563
10576,1500,51421,37342,52039,37718
10577,300,5613,4856,5793,5263
10577,720,16349,15428,17536,18088
10577,1500,43271,38711,49511,45497
10578,300,4673,5708,5146,6206
10578,720,12105,15431,14180,16342
10578,1500,34145,40596,39319,44934
10579,300,4414,5561,5220,6549
10579,720,12413,15103,13725,17982
10579,1500,34448,42212,39074,50656
10580,300,4918,4978,5821,6706
10580,720,15696,12857,17852,16125
10580,1500,41244,35474,47193,39713
10581,300,5673,4571,6473,6382
10581,720,14029,15534,15084,17798
10581,1500,40314,36731,44096,42163
10582,300,5254,7156,7614,7154
10582,720,14847,18750,20167,21717
10582,1500,36457,54033,43356,61433
10583,300,5110,5738,6197,5326
10583,720,15511,19005,15764,17697
10583,1500,33476,53263,35113,51129
10584,300,4896,6693,5596,6910
10584,720,17642,18388,17875,17746
10584,1500,48049,42530,51774,47924
10585,300,6094,5267,6131,5603
10585,720,17060,18685,18421,19187
10585,1500,46834,48597,49875,50532
10586,300,5886,5167,6777,6331
10586,720,17760,15360,20700,17181
10586,1500,41621,44442,46032,52117
10587,300,5753,5152,6509,5601
10587,720,17389,16379,18337,17905
10587,1500,64167,34177,52848,33321
10588,300,6239,5382,6196,6021
10588,720,17959,15927,19129,16641
10588,1500,49683,43037,55913,47720
10589,300,5325,5330,6178,6566
10589,720,14922,15978,16710,17945
10589,1500,41408,41388,48786,46532
10590,300,6607,4928,6925,5753
10590,720,18848,13705,17675,14398
10590,1500,50207,39305,48248,40908
10591,300,4504,6371,5467,6631
10591,720,13133,16957,15289,18117
10591,1500,39389,41703,44191,46581
10592,300,5415,7564,5741,6819
10592,720,16553,21271,15166,19816
10592,1500,35963,54029,35584,50921
10593,300,5295,6256,5676,5863
10593,720,14543,14888,15856,16185
10593,1500,36634,39676,42375,45964
10594,300,7092,5626,6298,5667
10594,720,20309,18507,19416,17925
10594,1500,52648,50622,48207,49653
10595,300,6219,5697,8026,5849
10595,720,18178,15346,22064,13907
10595,1500,38757,47900,43905,46984
10596,300,5277,8052,5653,7297
10596,720,14670,18057,15196,17331
10596,1500,37181,40865,37524,43949
10597,300,5606,5811,6699,5943
10597,720,17296,15660,20052,17416
10597,1500,44089,44063,55071,49965
10598,300,5997,5452,6452,6184
10598,720,21387,13675,20679,15183
10598,1500,65298,37396,53374,36864
10599,300,8979,5304,7398,5219
10599,720,20190,16432,18576,15893
10599,1500,47178,45723,51194,47847
10600,300,5997,5195,6570,6076
10600,720,16880,16204,15505,17678
10600,1500,40248,41787,40090,44158
10601,300,5110,6831,5946,6787
10601,720,16126,18601,18186,20064
10601,1500,46875,42473,56299,48505
10602,300,4812,5129,5781,5629
10602,720,15238,14518,16509,15377
10602,1500,38729,34656,40224,38400
10603,300,5207,6814,5515,6951
10603,720,16458,18231,17347,17977
10603,1500,40334,44328,45894,49623
10604,300,5818,5232,6443,5958
10604,720,20171,14756,22349,16287
10604,1500,65849,36471,62593,40501
10605,300,5622,5605,6412,6477
10605,720,13273,17423,14523,20554
10605,1500,38370,44061,41430,51958
10606,300,6140,5781,5529,5782
10606,720,17049,17913,15791,16601
10606,1500,39389,42826,43105,44581
10607,300,4070,6320,5348,7581
10607,720,17309,17587,19426,19051
10607,1500,52581,43344,53838,49122
10608,300,6399,5230,6107,6509
10608,720,15782,12979,15205,15264
10608,1500,36386,37879,35816,42027
10609,300,6010,5054,7180,5380
10609,720,18660,13482,19698,15045
10609,1500,44932,40689,47928,45158
10610,300,5413,6536,5719,6563
10610,720,13160,18164,14896,19828
10610,1500,38422,57260,43549,63121
10611,300,5706,5665,6156,6161
10611,720,14462,13675,15521,16290
10611,1500,37819,34585,41441,39141
10612,300,5267,5567,6556,5958
10612,720,14279,14804,16356,16408
10612,1500,41232,40043,47950,46250
10613,300,6449,7095,6177,6807
10613,720,16038,18846,16357,19763
10613,1500,36908,45949,37511,50171
10614,300,5274,5079,6196,5776
10614,720,15663,13341,16936,15223
10614,1500,40547,30651,45671,32297
10615,300,6699,5068,6369,5510
10615,720,20260,14141,18867,15209
10615,1500,51408,37941,50838,39166
10616,300,5680,5880,6236,5973
10616,720,15423,15729,17711,16746
10616,1500,43882,43779,49545,48009
10617,300,7147,5809,6375,6169
10617,720,19121,17174,18123,17136
10617,1500,41098,47562,42537,51635
10618,300,5068,5943,6040,7429
10618,720,15398,13514,17742,15167
10618,1500,42555,35115,46567,37179
10619,300,6100,5328,6922,6011
10619,720,16901,15158,18431,16257
10619,1500,52307,31735,50809,32912
10620,300,6147,4221,6381,4919
10620,720,21228,10924,20195,10975
10621,300,5283,5508,5669,6369
10621,720,13784,16061,15312,17650
10621,1500,41181,45383,43169,45715
10622,300,7411,5471,6894,6434
10622,720,20922,18005,20224,18362
10622,1500,45828,44579,47458,47135
10623,300,5033,5899,6006,6284
10623,720,15433,14456,16186,15910
10623,1500,44225,37061,45342,41546
10624,300,5437,5024,5527,5911
10624,720,16915,17224,18500,18838
10624,1500,45309,48727,50509,60558
10625,300,4731,5215,4903,6141
10625,720,14256,16804,14815,17948
10625,1500,39367,44888,44107,53695
10626,300,4740,5855,5152,6394
10626,720,14778,15887,15157,17258
10626,1500,34506,38338,35314,41941
10627,300,5029,5830,5549,5965
10627,720,15307,15269,15554,15986
10627,1500,43440,40203,48483,46606
10628,300,5032,5055,6313,5832
10628,720,16298,13500,17051,13529
10628,1500,39465,35352,41593,36829
10629,300,5407,5265,7095,6652
10629,720,17247,17808,21505,20296
10629,1500,38607,50018,45389,61519
10630,300,5841,5897,6113,6471
10630,720,17900,17158,16966,17034
10630,1500,58874,38084,57450,38905
10631,300,5378,5925,5834,5755
10631,720,16747,20004,17236,21368
10631,1500,44284,66151,46915,67414
10632,300,4480,4565,6124,5286
10632,720,16236,13414,17233,13518
10632,1500,42113,37427,48489,42072
10633,300,5529,5519,6468,5984
10633,720,17079,17654,17273,19037
10633,1500,49688,41372,58502,46532
10634,300,4861,7781,5491,6152
10634,720,13812,19833,14563,18385
10634,1500,38278,58083,40811,52280
10635,300,6275,5301,7109,5981
10635,720,19291,15293,18374,16938
10635,1500,43611,42650,49190,47642
10636,300,6632,5814,7147,6945
10636,720,21024,16342,19811,18435
10636,1500,46434,43466,47656,48650
10637,300,5967,6777,6704,7297
10637,720,15710,17669,16907,19517
10637,1500,37939,48215,39897,52264
10638,300,5999,4727,6428,5352
10638,720,16205,15153,16899,16219
10638,1500,38610,33997,41112,35367
10639,300,5491,4888,6670,5585
10639,720,12945,14534,15129,15659
10639,1500,31142,41984,32713,48296
10640,300,5825,6129,6212,6241
10640,720,15828,17490,15285,18393
10640,1500,34543,49378,33445,49878
10641,300,4340,6585,6086,7294
10641,720,14060,18644,17617,20279
10641,1500,34637,61380,38549,56080
10642,300,6202,5638,6615,6444
10642,720,15480,17043,18059,18246
10642,1500,40725,42682,49142,44906
10643,300,5705,5314,6342,6054
10643,720,14416,15116,16966,16949
10643,1500,37598,44362,39396,53030
10644,300,5787,5651,5591,6239
10644,720,15398,17099,16245,17841
10644,1500,46490,43119,48049,48555
10645,300,5784,5992,6786,6165
10645,720,11578,21049,11808,18567
10645,1500,30032,57835,31955,56153
10646,300,5728,5012,6163,5929
10646,720,15610,14063,17557,15110
10646,1500,38360,38068,45079,44767
10647,300,5961,4873,6765,5664
10647,720,16730,14366,16282,15041
10647,1500,40158,41467,45915,46080
10648,300,5046,6757,4778,6564
10648,720,14719,19461,14173,19838
10648,1500,39955,42814,43871,48510
10649,300,5615,5337,5878,5882
10649,720,19142,14952,20645,15626
10649,1500,43739,44310,46609,48972
10650,300,6770,6653,5900,6784
10650,720,16725,16062,15688,15704
10650,1500,42404,44488,42192,49292
10651,300,5559,5821,5921,5976
10651,720,19047,14692,18608,15588
10651,1500,58338,49234,50204,46764
10652,300,4333,7087,5728,7098
10652,720,15231,16386,17257,16866
10652,1500,36564,43087,41984,51188
10653,300,7471,6350,7040,7539
10653,720,21560,18196,21399,19422
10653,1500,46605,53944,46639,53031
10654,300,4992,6256,5984,7295
10654,720,13656,16244,14562,19172
10654,1500,37346,40672,39827,46394
10655,300,5288,6263,5631,6162
10655,720,14568,14099,16967,14646
10655,1500,35209,42646,38838,49774
10656,300,4946,6134,5979,7116
10656,720,15628,17614,18707,18086
10656,1500,37089,47222,39458,50568
10657,300,5628,5230,6113,6459
10657,720,14333,14862,15251,16114
10657,1500,40080,39281,44474,45129
10658,300,6174,5185,7839,5848
10658,720,19605,15464,20430,17216
10658,1500,46016,46167,51577,51865
10659,300,6290,5506,6884,6434
10659,720,17890,15662,19369,18473
10659,1500,45591,42031,49422,47772
10660,300,5169,5973,5747,6011
10660,720,17413,15900,18350,16486
10660,1500,41863,38366,46792,43312
