match_id,times,tot_gold_rad,tot_gold_dire,tot_xp_rad,tot_xp_dire
31048,720,14729,14990,16942,17189
31048,1500,35240,41452,40612,51499
31049,300,4800,6273,5700,5923
31049,720,13533,17522,15980,16114
31049,1500,34441,47625,39171,47150
31050,300,6545,6645,6931,5507
31050,720,18469,18696,20263,19053
31050,1500,44253,52332,50834,55079
31051,300,5026,5408,5631,6077
31051,720,15799,15017,16372,14760
31051,1500,43158,37095,49057,38679
31052,300,5799,4562,7230,6263
31052,720,14711,14107,17884,17224
31052,1500,38128,36870,45557,43748
31053,300,4740,5092,6040,5657
31053,720,12282,14798,14601,15985
31053,1500,31190,37096,34930,42076
31054,300,6575,4653,6570,5069
31054,720,19370,16293,19023,17480
31054,1500,51261,46428,51285,47784
31055,300,6283,6029,6405,8000
31055,720,16953,18983,18033,22213
31055,1500,34113,51385,36691,55260
31056,300,7301,6363,7161,5866
31056,720,18371,17815,16953,16488
31056,1500,49925,41965,51285,42266
31057,300,5303,5555,5851,6395
31057,720,18147,16526,18276,17569
31057,1500,39570,37633,42321,41587
31058,300,5964,5449,6965,6173
31058,720,15161,14152,16510,16122
31058,1500,38261,43187,44610,53940
31059,300,5966,5496,6115,6407
31059,720,15757,15871,16298,16558
31059,1500,37215,43194,40558,40843
31060,300,4521,4678,5692,5747
31060,720,13973,14208,15381,14886
31060,1500,34715,38098,37281,43258
31061,300,5789,4393,6524,5641
31061,720,14594,11641,16402,15105
31061,1500,37486,30310,38083,33150
31062,300,7703,5576,7008,6035
31062,720,18744,18669,18584,19377
31062,1500,43245,52985,45313,61045
31063,300,5884,5314,5517,5542
31063,720,16221,17505,16440,17985
31063,1500,43292,43763,45974,48842
31064,300,4275,6810,5489,7308
31064,720,13877,18660,15244,19289
31064,1500,41937,46743,46397,53015
31065,300,5132,6204,5689,6889
31065,720,14010,15742,16472,18783
31065,1500,39564,37904,49037,45344
31066,300,5950,5055,6599,5119
31066,720,17306,16163,17655,18058
31066,1500,52113,38721,52571,42212
31067,300,4639,7167,4530,7738
31067,720,14799,20497,16088,20219
31067,1500,43237,45036,50190,51922
31068,300,6909,6460,6301,7156
31068,720,19051,18030,17502,19582
31068,1500,52020,40901,53278,45184
31069,300,4652,4603,5658,6868
31069,720,15046,14282,15958,19262
31069,1500,40458,39196,47392,50343
31070,300,5521,6337,6134,6888
31070,720,18067,17488,17823,19490
31070,1500,52697,43971,54322,48540
31071,300,5688,5904,6514,6440
31071,720,19125,15468,20986,16514
31071,1500,46836,43722,50211,48357
31072,300,5047,6024,6378,5922
31072,720,14346,18304,16174,17551
31072,1500,32030,64615,34316,60505
31073,300,6549,5351,6343,4856
31073,720,16871,13729,17530,13712
31073,1500,49255,37108,50010,38440
31074,300,4615,5653,6072,6077
31074,720,13032,15495,15951,16302
31074,1500,31303,39089,35425,47159
31075,300,7274,5751,7108,6150
31075,720,20896,17428,17376,18301
31075,1500,50273,47636,50472,53101
31076,300,5921,4860,5650,6151
31076,720,15271,14700,16058,17056
31076,1500,40316,38388,47832,46822
31077,300,5212,4292,6437,4971
31077,720,15831,13843,17337,15310
31077,1500,40910,37879,42466,38809
31078,300,7177,4767,7249,6134
31078,720,20271,13052,19029,15265
31078,1500,53259,36017,58242,39300
31079,300,6217,5705,6284,5067
31079,720,18905,17315,19117,16436
31079,1500,42019,43063,44015,44673
31080,300,5528,6288,5961,6163
31080,720,14507,15710,15874,16269
31080,1500,36162,48198,41590,47006
31081,300,4035,5214,4885,5924
31081,720,12340,16869,14021,19586
31081,1500,34819,61403,25821,58004
31082,300,5849,5869,5964,5690
31082,720,17075,15543,16747,15749
