match_id,times,rad_gold_adv,rad_xp_adv
10500,1500,-5128,-6956
10501,300,157,136
10501,720,375,249
10501,1500,1516,270
10502,300,2224,1727
10502,720,12144,9586
10503,300,1143,470
10503,720,5054,4942
10503,1500,27552,17764
10504,300,1430,976
10504,720,2516,3689
10505,300,1706,884
10505,720,5902,4401
10505,1500,39208,35214
10506,300,-873,-761
10506,720,2041,2922
10507,300,-991,410
10507,720,-2184,-34
10507,1500,954,9262
10508,300,-475,553
10508,720,2512,3766
10508,1500,17479,24321
10509,300,-841,-194
10509,720,-4031,-4202
10509,1500,-16113,-20741
10510,300,-1819,371
10510,720,-1507,-995
10510,1500,-359,2045
10511,300,-723,-249
10511,720,-2391,-1335
10511,1500,1881,5673
10512,300,926,1115
10512,720,3342,1204
10512,1500,23145,15923
10513,300,566,14
10513,720,-1569,-1751
10513,1500,2039,2088
10514,300,-1914,-481
10514,720,-3643,-1247
10514,1500,-6319,-644
10515,300,-835,-497
10515,720,-1027,-255
10515,1500,3276,3872
10516,300,-260,-463
10516,720,-1929,582
10516,1500,-5328,-4303
10517,300,-330,-516
10517,720,1506,415
10517,1500,25499,20590
10518,300,-55,599
10518,720,1539,4014
10518,1500,-855,3576
10519,300,729,-208
10519,720,1547,-8
10519,1500,565,-5172
10520,300,2161,1050
10520,720,4757,4558
10520,1500,20586,18252
10521,300,-394,457
10521,720,2468,3411
10521,1500,7104,10350
10522,300,305,-702
10522,720,4131,75
10522,1500,13391,9655
10523,300,2536,1413
10523,720,11980,8140
10523,1500,41128,23880
10524,300,-1519,-1521
10524,720,-5768,-3373
10524,1500,-8856,-8267
10525,300,292,-1186
10525,720,1256,-691
10525,1500,8889,5730
10526,300,432,1689
10526,720,1729,3338
10526,1500,-4045,-12051
10527,300,-59,-450
10527,720,-864,-89
10527,1500,-4356,-5390
10528,300,32,-155
10528,720,-49,-5
10528,1500,192,2801
10529,300,-1562,-1404
10529,720,-4255,-2643
10530,300,772,820
10530,720,795,222
10530,1500,179,-3221
10531,300,1893,-125
10531,720,4277,1178
10531,1500,14737,5488
10532,300,-199,-152
10532,720,-169,-190
10532,1500,-2605,3247
10533,300,-444,-619
10533,720,-2721,-2680
10533,1500,2910,5653
10534,300,1610,1223
10534,720,87,-147
10534,1500,-4148,-7533
10535,300,-615,-311
10535,720,-2548,1257
10535,1500,498,13395
10536,300,1236,473
10536,720,431,-814
10536,1500,4010,4745
10537,300,-661,-853
10537,720,-6333,-5866
10537,1500,-12263,-13174
10538,300,523,-548
10538,720,2404,-669
10538,1500,12492,3961
10539,300,1113,602
10539,720,627,-340
10539,1500,-2944,-4918
10540,300,-271,-1003
10540,720,-467,-659
10540,1500,-2320,-7210
10541,300,-1077,-1288
10541,720,-1749,-3771
10541,1500,-382,-3313
10542,300,-306,575
10542,720,-1581,-1248
10542,1500,3174,5769
10543,300,930,830
10543,720,1678,1438
10543,1500,2818,5883
10544,300,-1295,-192
10544,720,-4723,-4082
10544,1500,-34440,-25347
10545,300,-1782,-2046
10545,720,-3512,-3189
10545,1500,-3176,-496
10546,300,1476,274
10546,720,1297,1970
10546,1500,-5029,-900
10547,300,-427,325
10547,720,-1523,514
10547,1500,-754,1914
10548,300,436,-884
10548,720,428,-535
10548,1500,4034,7268
10549,300,1370,998
10549,720,9472,6904
10549,1500,21463,20957
10550,300,739,39
10550,720,-1547,-3566
10550,1500,40,-3534
10551,300,127,62
10551,720,2472,1447
10551,1500,-2070,2629
10552,300,31,475
10552,720,1862,1862
10552,1500,19412,12169
10553,300,1254,410
10553,720,-363,-199
10553,1500,-790,603
10554,300,336,825
10554,720,-640,-262
10554,1500,713,370
10555,300,-623,-210
10555,720,-1623,-658
10555,1500,-4396,-10258
10556,300,-1043,-774
10556,720,763,1700
10556,1500,6170,7290
10557,300,-140,-145
10557,720,-880,-2016
10557,1500,-4980,-8874
10558,300,294,248
