match_id,times,tot_gold_rad,tot_gold_dire,tot_xp_rad,tot_xp_dire
40809,300,5447,4302,6233,4866
40809,720,13634,14309,15598,15428
40809,1500,32441,41296,33652,44032
40810,300,5226,5236,5170,5850
40810,720,15767,14811,15107,17262
40810,1500,41016,38498,41859,41098
40811,300,5510,5500,6320,6704
40811,720,13618,17446,16244,20277
40811,1500,38606,46592,43595,54257
40812,300,5089,5226,5903,5247
40812,720,16241,14862,16648,14802
40812,1500,36517,42442,34697,40375
40813,300,5766,5520,7536,5953
40813,720,14090,16303,17332,16852
40813,1500,39543,40909,46371,46001
40814,300,5827,5960,6381,7560
40814,720,15949,16317,18210,18979
40814,1500,37195,41180,41460,45879
40815,300,4766,6359,5804,6620
40815,720,15387,15640,17591,17136
40815,1500,44555,37123,55510,39692
40816,300,6094,5610,6555,5707
40816,720,15882,15065,16927,17449
40816,1500,39628,43332,42546,48455
40817,300,4046,5657,5559,6085
40817,720,12899,13624,16557,14934
40817,1500,33455,39662,39363,46361
40818,300,5008,4988,5479,5468
40818,720,16860,14526,18093,15172
40818,1500,44434,40719,50861,48331
40819,300,6169,6877,6443,7757
40819,720,18830,17723,18575,18144
40819,1500,46651,47069,51995,53427
40820,300,5157,4563,6034,5764
40820,720,16836,12230,18783,14862
40820,1500,59580,30100,58689,31559
40821,300,5386,5347,6104,6333
40821,720,15907,13435,17048,15636
40821,1500,38636,42184,41197,49343
40822,300,4464,5123,5762,5635
40822,720,12992,16815,14626,18531
40822,1500,39432,47916,45238,56590
40823,300,3827,6277,5222,6148
40823,720,11166,17505,13172,15513
40823,1500,29197,44590,35268,41408
40824,300,5284,5375,5387,5341
40824,720,16818,14089,17246,14677
40824,1500,37561,38257,41156,44651
40825,300,5814,5918,5574,6133
40825,720,16077,15517,16523,16892
40825,1500,34069,44605,34430,50515
40826,300,5031,3991,6508,4790
40826,720,15093,15214,16721,13982
40826,1500,34720,47521,35365,43320
40827,300,4549,5646,5498,6530
40827,720,14017,14459,16548,15935
40827,1500,42801,34898,45895,37713
40828,300,6104,4972,6382,6033
40828,720,17911,12814,19025,14824
40829,300,5407,5432,6487,6617
40829,720,17216,16207,16869,18984
40829,1500,43654,40060,47198,45430
40830,300,6447,5507,6775,6056
40830,720,17904,16168,19358,17396
40830,1500,39561,41316,40478,45100
40831,300,6732,5512,6749,6148
40831,720,16849,15362,16974,16731
40831,1500,52760,41956,50875,45532
40832,300,5231,5125,6175,6121
40832,720,16634,13306,17257,15447
40832,1500,42720,38177,47559,40054
40833,300,5877,5894,7078,7597
40833,720,16149,16853,18552,20526
40833,1500,38573,46718,45628,61045
40834,300,5658,5589,5855,6474
40834,720,16728,12480,18346,14714
40834,1500,61762,31344,53096,31112
40835,300,5016,6515,5616,7127
40835,720,15388,17754,16016,19084
40835,1500,39610,50788,44827,59917
40836,300,8506,6125,7557,5940
40836,720,20331,16676,18886,15609
40836,1500,49957,41018,49301,37968
40837,300,5591,6730,6025,6293
40837,720,15142,17331,16775,17352
40837,1500,36760,47942,40437,51340
40838,300,5912,4921,6292,5511
40838,720,18826,15607,17532,17008
40838,1500,46033,43653,49473,50030
40839,300,5647,3785,5675,5276
40839,720,13840,14327,15355,16809
40839,1500,32618,41252,34026,48810
40840,300,5801,4681,6055,5259
40840,720,18595,14009,18262,13744
40840,1500,42808,35899,42574,38677
40841,300,5296,5807,5541,6110
40841,720,14215,12846,16338,13873
40841,1500,38082,36815,42074,41287
40842,300,5983,5875,6277,6754
40842,720,17560,14858,18260,16352
40842,1500,42097,40826,42704,47670
40843,300,6639,5195,6729,5480
40843,720,18762,14491,20219,15820
40843,1500,46020,40535,49621,47401
40844,300,7763,5480,7456,5300
40844,720,19074,16341,19788,17295
40844,1500,54311,42133,55051,36500
40845,300,5905,6302,6459,6120
40845,720,18991,17335,19398,18516
40845,1500,49467,45335,57182,46713
40846,300,7560,4530,6824,6213
40846,720,22057,10980,19441,12894
40846,1500,65228,38944,56174,41431
40847,300,5664,5256,6144,5974
40847,720,16268,14322,16972,15627
40847,1500,37918,37893,40366,40233
40848,300,6984,7330,7251,6731
40848,720,21999,19091,25067,19570
40848,1500,47157,48610,48476,51736
40849,300,4682,5434,5968,6864
40849,720,11372,13845,14560,17529
40849,1500,35607,34054,42647,41226
40850,300,5448,5085,6010,5774
40850,720,17152,13919,18794,15310
40850,1500,60254,32954,53536,34481
40851,300,5584,6128,7003,6949
40851,720,18654,16347,20798,17749
40851,1500,55155,40319,56782,45635
40852,300,4851,5272,5173,6210
40852,720,16350,14906,18084,15382
40852,1500,41383,36831,47071,41335
40853,300,5604,6537,6332,6561
40853,720,16519,16876,17764,15852
40853,1500,37518,42830,43480,47390
40854,300,5932,5133,6682,6749
40854,720,14932,15286,17667,18808
40854,1500,41704,36536,51523,46928
40855,300,4514,4578,5551,6608
40855,720,12932,12891,16404,15785
40855,1500,40348,26411,47273,28224
40856,300,7813,6922,7625,6286
40856,720,19049,18276,20082,18111
40856,1500,45590,40174,50803,40627
40857,300,5562,6473,6089,5923
40857,720,16364,17577,17361,17392
40857,1500,38024,44693,40774,47287
40858,300,4813,4039,6218,4638
40858,720,17606,13829,19307,14680
40858,1500,50457,37836,55415,40765
40859,300,7831,7673,7555,7440
40859,720,18341,18421,18744,19090
40859,1500,43674,52523,46667,56895
40860,300,5297,5104,6224,6068
40860,720,14350,13780,17036,16318
40860,1500,37824,36007,44314,42662
40861,300,6181,5089,6482,6523
40861,720,18203,14336,18515,16745
40861,1500,49130,37690,46283,40999
40862,300,5172,5527,5456,6703
40862,720,14038,17752,16893,19641
40862,1500,34096,50884,35925,60768
40863,300,7674,6606,7631,5823
40863,720,20327,19773,20022,19208
40863,1500,48376,49588,55596,52101
40864,300,4767,5439,5463,6617
40864,720,14250,13641,15988,16030
40864,1500,35019,38067,37259,48716
40865,300,4774,6375,5588,7764
40865,720,17442,16789,19196,20806
40865,1500,39225,50296,43753,62216
40866,300,4677,6078,5835,7047
40866,720,12902,18137,15562,20100
40866,1500,31246,48344,36999,54211
40867,300,5078,6429,5066,6787
40867,720,14798,17542,15693,20010
40867,1500,44374,50114,47997,57001
40868,300,4912,5078,5366,5733
40868,720,13518,13880,14878,15900
40868,1500,34477,37377,37214,43837
40869,300,4585,4266,5680,5780
40869,720,12658,13892,13824,16712
40869,1500,30817,40444,33923,46374
40870,300,5262,5170,6062,6517
40870,720,15239,14513,15044,15995
