Match ID,Radiant pick,Dire pick,Radiant Win,Score,Last hits,radiant win %,dire win %
5216128401,"['huskar', 'tiny', 'silencer', 'troll_warlord', 'disruptor']","['templar_assassin', 'juggernaut', 'pudge', 'windrunner', 'dark_willow']",1,7,-29,0.49399999999999994,0.506
5216128402,"['slark', 'legion_commander', 'tinker', 'ancient_apparition', 'disruptor']","['templar_assassin', 'windrunner', 'life_stealer', 'spirit_breaker', 'winter_wyvern']",0,-22,-102,0.4835999999999999,0.5166000000000001
5216128405,"['riki', 'abyssal_underlord', 'nyx_assassin', 'lina', 'bloodseeker']","['wisp', 'invoker', 'snapfire', 'faceless_void', 'silencer']",1,21,196,0.4928,0.5072
5216128416,"['magnataur', 'faceless_void', 'storm_spirit', 'snapfire', 'venomancer']","['slark', 'enigma', 'pudge', 'invoker', 'furion']",1,16,96,0.5286000000000002,0.47139999999999993
5216128418,"['life_stealer', 'razor', 'alchemist', 'venomancer', 'bounty_hunter']","['medusa', 'disruptor', 'viper', 'bristleback', 'shredder']",1,36,212,0.5398,0.46020000000000005
5216128419,"['queenofpain', 'earthshaker', 'ursa', 'pudge', 'zuus']","['life_stealer', 'tiny', 'skeleton_king', 'kunkka', 'invoker']",1,10,-26,0.4795999999999999,0.5204000000000001
5216128501,"['phantom_assassin', 'tusk', 'antimage', 'winter_wyvern', 'legion_commander']","['wisp', 'slark', 'skeleton_king', 'life_stealer', 'death_prophet']",1,4,143,0.49400000000000005,0.5062
5216128514,"['antimage', 'kunkka', 'lone_druid', 'snapfire', 'ogre_magi']","['shadow_shaman', 'shredder', 'faceless_void', 'pudge', 'invoker']",0,-1,-8,0.5198,0.48040000000000005
5216128518,"['treant', 'nevermore', 'rattletrap', 'phantom_lancer', 'witch_doctor']","['skeleton_king', 'sniper', 'phantom_assassin', 'storm_spirit', 'skywrath_mage']",0,-16,-235,0.527,0.47300000000000003
5216128606,"['bloodseeker', 'drow_ranger', 'ogre_magi', 'slardar', 'pudge']","['silencer', 'rubick', 'faceless_void', 'lion', 'pangolier']",1,8,158,0.5498000000000001,0.4506
5216128607,"['shadow_shaman', 'pudge', 'bounty_hunter', 'storm_spirit', 'antimage']","['venomancer', 'death_prophet', 'crystal_maiden', 'ogre_magi', 'juggernaut']",1,21,162,0.471,0.5289999999999999
5216128608,"['pudge', 'antimage', 'windrunner', 'ogre_magi', 'tiny']","['enigma', 'dark_willow', 'queenofpain', 'faceless_void', 'doom_bringer']",1,8,263,0.45099999999999996,0.5486
5216128609,"['treant', 'phoenix', 'faceless_void', 'nevermore', 'lion']","['nyx_assassin', 'razor', 'slark', 'earthshaker', 'crystal_maiden']",0,-15,12,0.48640000000000005,0.514
5216128711,"['antimage', 'nyx_assassin', 'juggernaut', 'alchemist', 'gyrocopter']","['rubick', 'slark', 'phantom_assassin', 'ogre_magi', 'phantom_lancer']",1,6,-56,0.5128,0.48739999999999994
5216128712,"['skywrath_mage', 'tidehunter', 'lycan', 'disruptor', 'phantom_assassin']","['legion_commander', 'ogre_magi', 'invoker', 'rattletrap', 'skeleton_king']",0,-10,-209,0.5394,0.46040000000000003
5216128806,"['furion', 'naga_siren', 'faceless_void', 'viper', 'earthshaker']","['morphling', 'ogre_magi', 'kunkka', 'drow_ranger', 'invoker']",0,-17,-213,0.48339999999999994,0.5166000000000001
5216128818,"['monkey_king', 'pugna', 'night_stalker', 'lion', 'brewmaster']","['earthshaker', 'rubick', 'obsidian_destroyer', 'faceless_void', 'legion_commander']",1,15,-295,0.49119999999999997,0.5084
5216128905,"['lina', 'juggernaut', 'kunkka', 'ogre_magi', 'rubick']","['rattletrap', 'lion', 'windrunner', 'pudge', 'ember_spirit']",1,2,6,0.5147999999999999,0.4854
5216128913,"['earthshaker', 'zuus', 'doom_bringer', 'phantom_lancer', 'rubick']","['pudge', 'faceless_void', 'bloodseeker', 'obsidian_destroyer', 'dark_willow']",0,-29,-255,0.5012000000000001,0.49879999999999997
5216128916,"['lone_druid', 'enchantress', 'lich', 'faceless_void', 'huskar']","['life_stealer', 'nevermore', 'tiny', 'vengefulspirit', 'techies']",0,-13,-451,0.5489999999999999,0.4508
5216128917,"['ember_spirit', 'slardar', 'rubick', 'magnataur', 'monkey_king']","['sniper', 'pudge', 'furion', 'bristleback', 'weaver']",1,9,82,0.5668,0.433
5216129001,"['mirana', 'bristleback', 'bloodseeker', 'enigma', 'silencer']","['ogre_magi', 'huskar', 'monkey_king', 'razor', 'furion']",0,-1,10,0.5246000000000001,0.47519999999999996
5216129014,"['gyrocopter', 'rubick', 'lina', 'medusa', 'legion_commander']","['phantom_assassin', 'abaddon', 'kunkka', 'silencer', 'tiny']",0,-30,-23,0.506,0.49379999999999996
5216129109,"['legion_commander', 'nevermore', 'pangolier', 'spirit_breaker', 'lion']","['faceless_void', 'snapfire', 'witch_doctor', 'tiny', 'phantom_assassin']",0,-21,-140,0.48119999999999996,0.5186
5216129218,"['ogre_magi', 'invoker', 'sniper', 'windrunner', 'batrider']","['crystal_maiden', 'lion', 'bristleback', 'juggernaut', 'puck']",1,11,-39,0.5032,0.4968
